Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule
Кызыл,Врач-невролог,Нет опыта,115000.0,Врач,Полный день
Ак-Довурак,Представитель Тинькофф,Нет опыта,58000.0,Торговый представитель,Гибкий график
Каа-Хем,Представитель банка,Нет опыта,50000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Кызыл,Оператор входящих звонков Яндекс Путешествий (проектная работа на 4 месяца),Нет опыта,30000.0,"Оператор call-центра, специалист контактного центра",Полный день
Кызыл,Машинист экскаватора,От 1 года до 3 лет,165000.0,Машинист,Вахтовый метод
Шагонар,Врач терапевт,Нет опыта,74881.5,Врач,Полный день
Кызыл,Инструктор отдела по производственным процессам,От 1 года до 3 лет,32000.0,Разнорабочий,Полный день
Кызыл,Водитель автомобиля категории Е,Нет опыта,,Водитель,Вахтовый метод
Шагонар,Представитель Тинькофф,Нет опыта,58000.0,Торговый представитель,Гибкий график
Кызыл,Делопроизводитель,Нет опыта,40000.0,"Делопроизводитель, архивариус",Полный день
Кызыл,Ведущий специалист группы реструктуризации,От 1 года до 3 лет,32000.0,"Инженер ПТО, инженер-сметчик",Полный день
Абакан,"Диспетчер (отдел продаж, транспорт)",Нет опыта,55000.0,Диспетчер,Полный день
Абакан,Бухгалтер на первичную документацию,От 1 года до 3 лет,60000.0,Бухгалтер,Полный день
Саяногорск,Офис-менеджер,Нет опыта,30500.0,Офис-менеджер,Сменный график
Абакан,Заместитель генерального директора по административной хозяйственной деятельности,От 1 года до 3 лет,150000.0,Другое,Полный день
Черногорск,Водитель сочлененного самосвала,От 1 года до 3 лет,185000.0,Водитель,Полный день
Абакан,Специалист по работе с документами,Нет опыта,30000.0,"Делопроизводитель, архивариус",Полный день
Абакан,Юрисконсульт,Нет опыта,,Юрисконсульт,Полный день
Абакан,Торговый представитель (табачное направление),Нет опыта,90000.0,Торговый представитель,Полный день
Абакан,Менеджер по продаже недвижимости,Нет опыта,157500.0,Агент по недвижимости,Полный день
Абакан,Оператор (в отдел снабжения),От 1 года до 3 лет,40000.0,"Оператор ПК, оператор базы данных",Полный день
Абакан,Офис-менеджер,Нет опыта,45000.0,Офис-менеджер,Полный день
Абакан,Оператор 1C,От 1 года до 3 лет,48000.0,"Оператор ПК, оператор базы данных",Полный день
Абакан,Начальник управления по работе с персоналом,Более 6 лет,,Директор по персоналу (HRD),Полный день
Саяногорск,Диспетчер,От 1 года до 3 лет,76000.0,Диспетчер,Вахтовый метод
Абакан,Механик (Начальник автоколонны),От 3 до 6 лет,160000.0,Водитель,Полный день
Абакан,Руководитель представительства,От 1 года до 3 лет,,Руководитель отдела продаж,Полный день
Абакан,Администратор базы отдыха,Нет опыта,50000.0,Менеджер по туризму,Вахтовый метод
Абакан,Начальник транспортного цеха/заместитель руководителя/механик,Более 6 лет,100000.0,Механик,Полный день
Абакан,Менеджер по работе с клиентами,От 1 года до 3 лет,50000.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа
Абакан,Главный бухгалтер,От 3 до 6 лет,,Бухгалтер,Полный день
Абакан,Секретарь руководителя,Нет опыта,30787.0,"Секретарь, помощник руководителя, ассистент",Полный день
Черногорск,Товарный оператор,Нет опыта,47500.0,Другое,Сменный график
Абакан,Помощник руководителя,Нет опыта,40000.0,"Секретарь, помощник руководителя, ассистент",Полный день
Абакан,Диспетчер транспортного отдела,От 3 до 6 лет,70000.0,Диспетчер,Вахтовый метод
Абакан,Офис менеджер,Нет опыта,40000.0,Кредитный специалист,Полный день
Абакан,Заведующий хозяйством,От 1 года до 3 лет,50000.0,Менеджер/руководитель АХО,Полный день
Абакан,"Начальник отдела планирования и мотивации, труда и заработной платы",От 3 до 6 лет,,Менеджер по компенсациям и льготам,Полный день
Абакан,Офис-менеджер,От 1 года до 3 лет,42000.0,Офис-менеджер,Полный день
Абакан,Администратор,Нет опыта,42500.0,Администратор,Сменный график
Абакан,Кадровик – Расчетчик заработной платы,От 1 года до 3 лет,50000.0,Специалист по кадрам,Полный день
Абакан,Управляющий розничным магазином,От 1 года до 3 лет,100000.0,"Директор магазина, директор сети магазинов",Полный день
Абакан,Водитель-экспедитор категории С (продукция АЯН),От 1 года до 3 лет,100000.0,Водитель,Полный день
Абакан,Заместитель Генерального директора по МТО и снабжению,Более 6 лет,,Операционный директор (COO),Полный день
Абакан,Комплектовщик на теплый склад,Нет опыта,142500.0,"Упаковщик, комплектовщик",Вахтовый метод
Абакан,Грузчик-наборщик,Нет опыта,45000.0,Кладовщик,Полный день
Абакан,Водитель легкового автомобиля (ЧНГКМ),От 1 года до 3 лет,165000.0,Водитель,Вахтовый метод
Саяногорск,Сотрудник склада,Нет опыта,52500.0,Кладовщик,Полный день
Абакан,"Торговый представитель (Heineken, HoReCa)",Нет опыта,85000.0,Торговый представитель,Полный день
Саяногорск,Эксклюзивный Торговый представитель,Нет опыта,50000.0,Торговый представитель,Полный день
Абакан,Региональный торговый представитель,От 3 до 6 лет,150000.0,Торговый представитель,Полный день
Абакан,Бариста. Обучим с 0,Нет опыта,35000.0,"Официант, бармен, бариста",Полный день
Абакан,Пресейл по электрике,Нет опыта,60000.0,"Инженер-энергетик, инженер-электрик",Полный день
Абакан,Менеджер по закупу зерновых культур,От 1 года до 3 лет,175000.0,Менеджер по закупкам,Полный день
Абакан,Водитель - инкассатор,От 1 года до 3 лет,73000.0,Охранник,Полный день
Абакан,Управляющий филиалом,От 1 года до 3 лет,75000.0,Руководитель филиала,Полный день
Абакан,Менеджер по работе с клиентами,Нет опыта,45000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Абакан,Помощник руководителя/логист,Нет опыта,60000.0,"Менеджер по логистике, менеджер по ВЭД",Полный день
Абакан,Администратор медицинского центра,Нет опыта,32000.0,Администратор,Сменный график
Абакан,Специалист отдела кадров,От 1 года до 3 лет,57500.0,Специалист по кадрам,Полный день
Абакан,Младший судебный пристав по ОУПДС,Нет опыта,72500.0,Другое,Полный день
Абакан,Продавец-консультант КБТ техники,Нет опыта,74000.0,"Продавец-консультант, продавец-кассир",Полный день
Абакан,Менеджер по продажам,Нет опыта,50000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Абакан,Водитель категории В,От 3 до 6 лет,80000.0,Водитель,Вахтовый метод
Абакан,Электромонтер по ремонту и обслуживанию оборудования,От 1 года до 3 лет,115000.0,Электромонтажник,Полный день
Абакан,Копирайтер,Нет опыта,30000.0,"Копирайтер, редактор, корректор",Полный день
Абакан,"Специалист в автосалон (автофотограф, по работе с сайтами)",Нет опыта,60000.0,"Фотограф, ретушер",Полный день
Черногорск,Продавец-консультант в магазин обоев,От 1 года до 3 лет,42500.0,"Продавец-консультант, продавец-кассир",Полный день
Саяногорск,Электромонтер по ремонту и обслуживанию оборудования,От 1 года до 3 лет,115000.0,Электромонтажник,Полный день
Абакан,Флорист,Нет опыта,67500.0,Другое,Полный день
Абакан,Механик по транспорту,От 3 до 6 лет,70000.0,"Сервисный инженер, инженер-механик",Полный день
Абакан,Администратор отеля,Нет опыта,43000.0,Администратор,Сменный график
Абакан,Водитель категории С,От 1 года до 3 лет,85000.0,Водитель,Полный день
Абакан,Сотрудник склада (г. Абакан),Нет опыта,64000.0,"Упаковщик, комплектовщик",Сменный график
Абакан,Мерчендайзер на продукцию АЯН,Нет опыта,40000.0,Мерчандайзер,Полный день
Абакан,Кассир,От 1 года до 3 лет,40000.0,Бухгалтер,Полный день
Абакан,Диспетчер транспортного отдела,От 3 до 6 лет,120000.0,Диспетчер,Вахтовый метод
Саяногорск,Специалист отдела аналитики и эксплуатации транспорта,Нет опыта,42000.0,Другое,Полный день
Абакан,Секретарь руководителя,От 1 года до 3 лет,42000.0,Администратор,Полный день
Черногорск,Бухгалтер,От 3 до 6 лет,57500.0,Бухгалтер,Полный день
Абакан,Менеджер по работе на маркетплейсе,От 1 года до 3 лет,60000.0,Менеджер по работе с партнерами,Полный день
Абакан,Главный бухгалтер,От 3 до 6 лет,55000.0,Бухгалтер,Полный день
Абакан,"Мастер СМР (Общестрой, Республика Хакасия)",От 3 до 6 лет,165000.0,"Прораб, мастер СМР",Вахтовый метод
Черногорск,Специалист по подбору и обучению персонала,От 1 года до 3 лет,60000.0,Специалист по подбору персонала,Полный день
Абакан,Менеджер по кредитованию,От 1 года до 3 лет,100000.0,Кредитный специалист,Полный день
Абакан,Менеджер по продажам,Нет опыта,70000.0,"Продавец-консультант, продавец-кассир",Полный день
Абакан,Кредитный специалист,От 1 года до 3 лет,70000.0,Кредитный специалист,Полный день
Абакан,Главный инженер проекта,От 1 года до 3 лет,180000.0,Главный инженер проекта,Полный день
Абакан,Секретарь суда судебного участка г. Абакана,Нет опыта,32500.0,Юрист,Полный день
Абакан,Начальник смены,От 3 до 6 лет,330000.0,Другое,Вахтовый метод
Абакан,Водитель категории В,Нет опыта,,Водитель,Полный день
Абакан,Помощник водителя (грузчик),Нет опыта,45000.0,Грузчик,Полный день
Абакан,Оператор 1С,От 3 до 6 лет,45000.0,"Оператор ПК, оператор базы данных",Полный день
Абакан,"Продавец-консультант в магазин одежды ""Береги Хакасию""",Нет опыта,32500.0,"Продавец-консультант, продавец-кассир",Полный день
Абакан,Водитель-курьер (доставка посылок),Нет опыта,115000.0,Водитель,Гибкий график
Черногорск,Специалист 1С,От 1 года до 3 лет,75000.0,"Программист, разработчик",Полный день
Абакан,Аппаратчик на производство,Нет опыта,42500.0,Другое,Полный день
Абакан,Бухгалтер по расчету заработной платы,От 1 года до 3 лет,52500.0,Специалист по кадрам,Полный день
Абакан,Менеджер по продажам,Нет опыта,50000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Абакан,Фасовщик заказов,Нет опыта,59500.0,"Упаковщик, комплектовщик",Гибкий график
Усть-Абакан,"Посудомойщик / Посудомойщица на Базу отдыха ""Княжий двор""",Нет опыта,20000.0,"Уборщица, уборщик",Полный день
Абакан,Бренд-менеджер в департамент HR,От 1 года до 3 лет,70000.0,PR-менеджер,Полный день
Абакан,Специалист технической поддержки,От 1 года до 3 лет,94396.0,Специалист технической поддержки,Полный день
Черногорск,Специалист по воинскому учету и бронированию,От 3 до 6 лет,64352.0,Специалист по подбору персонала,Полный день
Абакан,Фасовщик саморезов,Нет опыта,50000.0,"Упаковщик, комплектовщик",Полный день
Абакан,Администратор в салон красоты,Нет опыта,37000.0,Администратор,Полный день
Абакан,Дорожный рабочий,Нет опыта,80000.0,Разнорабочий,Полный день
Черногорск,Кадровик – Расчетчик заработной платы,От 1 года до 3 лет,50000.0,Специалист по кадрам,Полный день
Саяногорск,Продавец-консультант,Нет опыта,40000.0,"Продавец-консультант, продавец-кассир",Полный день
Абакан,Разнорабочий,Нет опыта,103000.0,Разнорабочий,Вахтовый метод
Усть-Абакан,Менеджер в отделение банка,Нет опыта,70000.0,"Продавец-консультант, продавец-кассир",Полный день
Киров (Кировская область),Рабочий на военный завод,Нет опыта,145000.0,Разнорабочий,Вахтовый метод
Киров (Кировская область),"Юрист (строительство), г. Киров",От 1 года до 3 лет,90000.0,Юрисконсульт,Полный день
Киров (Кировская область),Территориальный управляющий,От 1 года до 3 лет,90000.0,Супервайзер,Полный день
Киров (Кировская область),Заместитель Главного бухгалтера (на производство),Более 6 лет,80000.0,Бухгалтер,Полный день
Киров (Кировская область),Менеджер по бронированию,Нет опыта,50000.0,Менеджер по туризму,Полный день
Киров (Кировская область),Графический дизайнер,Нет опыта,37500.0,"Дизайнер, художник",Удаленная работа
Киров (Кировская область),Администратор по сообщениям,Нет опыта,35000.0,"SMM-менеджер, контент-менеджер",Сменный график
Киров (Кировская область),Рабочий на оборонный завод,Нет опыта,142000.0,Разнорабочий,Вахтовый метод
Киров (Кировская область),Младший научный сотрудник,Нет опыта,70000.0,"Научный специалист, исследователь",Полный день
Киров (Кировская область),Администратор на ресепшен в дом бутик,От 1 года до 3 лет,40000.0,Администратор,Полный день
Киров (Кировская область),Требуется бухгалтер по расчету с поставщиками,От 1 года до 3 лет,50000.0,Бухгалтер,Полный день
Киров (Кировская область),Водитель,От 1 года до 3 лет,,Водитель,Вахтовый метод
Киров (Кировская область),Менеджер по работе с клиентами,От 3 до 6 лет,100000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Киров (Кировская область),Бухгалтер-кассир,От 1 года до 3 лет,55000.0,Бухгалтер,Полный день
Киров (Кировская область),Водитель-экспедитор,От 1 года до 3 лет,70000.0,Водитель,Полный день
Киров (Кировская область),Менеджер по работе с сетевыми клиентами,От 1 года до 3 лет,145000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Киров (Кировская область),Помощник администратора (можно 3-4 ч/д),Нет опыта,36875.0,Другое,Полный день
Киров (Кировская область),Кладовщик-оператор на выписку,От 1 года до 3 лет,50000.0,Кладовщик,Полный день
Киров (Кировская область),Стажер,Нет опыта,98000.0,Другое,Гибкий график
Киров (Кировская область),Менеджер по кадровому учету,От 1 года до 3 лет,,Специалист по кадрам,Полный день
Киров (Кировская область),Специалист по административно-хозяйственной части,От 1 года до 3 лет,60000.0,Менеджер/руководитель АХО,Полный день
Киров (Кировская область),Водитель-экспедитор на Газель,От 1 года до 3 лет,67500.0,Водитель,Полный день
Киров (Кировская область),Специалист по работе с молодежью,От 1 года до 3 лет,40000.0,Другое,Полный день
Киров (Кировская область),Продавец-консультант,Нет опыта,55000.0,"Продавец-консультант, продавец-кассир",Сменный график
Киров (Кировская область),Менеджер,Нет опыта,45000.0,Менеджер ресторана,Полный день
Киров (Кировская область),Бухгалтер,От 3 до 6 лет,50000.0,Бухгалтер,Полный день
Киров (Кировская область),Сотрудник на производство,Нет опыта,75000.0,Оператор производственной линии,Гибкий график
Киров (Кировская область),Разнорабочий на автозавод/оператор линии,Нет опыта,282500.0,Другое,Полный день
Киров (Кировская область),Лаборант,От 3 до 6 лет,45000.0,Лаборант,Полный день
Киров (Кировская область),Начальник эксплуатационно-технического отдела,От 3 до 6 лет,66900.0,Менеджер/руководитель АХО,Полный день
Киров (Кировская область),Менеджер по фотоконтенту,Нет опыта,55000.0,"Фотограф, ретушер",Полный день
Киров (Кировская область),Водитель БДД,От 1 года до 3 лет,50000.0,Водитель,Полный день
Киров (Кировская область),Помощник по хозяйству,Нет опыта,55000.0,Другое,Гибкий график
Киров (Кировская область),Товаровед,От 1 года до 3 лет,50000.0,Товаровед,Сменный график
Киров (Кировская область),Бухгалтер на первичную документацию / оператор 1С,От 1 года до 3 лет,45000.0,Бухгалтер,Полный день
Киров (Кировская область),Коммерческий директор,От 3 до 6 лет,200000.0,Коммерческий директор (CCO),Полный день
Киров (Кировская область),Начинающий специалист,Нет опыта,60000.0,Другое,Полный день
Киров (Кировская область),Оператор на выписку товара,Нет опыта,30000.0,Другое,Полный день
Киров (Кировская область),Механик,От 3 до 6 лет,70000.0,"Сервисный инженер, инженер-механик",Полный день
Киров (Кировская область),Торговый представитель,Нет опыта,94683.0,Торговый представитель,Полный день
Киров (Кировская область),Бренд-менеджер,От 1 года до 3 лет,75000.0,Маркетолог-аналитик,Полный день
Киров (Кировская область),Авитолог,От 1 года до 3 лет,70000.0,"SMM-менеджер, контент-менеджер",Полный день
Киров (Кировская область),Ассистент руководителя по документам,Нет опыта,15000.0,"Секретарь, помощник руководителя, ассистент",Удаленная работа
Киров (Кировская область),Специалист по подбору персонала,От 1 года до 3 лет,50000.0,Специалист по подбору персонала,Полный день
Киров (Кировская область),Помощник руководителя,Нет опыта,50000.0,Ветеринарный врач,Полный день
Киров (Кировская область),Бухгалтер в единственном числе,От 1 года до 3 лет,,Бухгалтер,Полный день
Киров (Кировская область),Оператор склада,Нет опыта,36610.0,"Оператор ПК, оператор базы данных",Сменный график
Киров (Кировская область),Главный инженер,От 3 до 6 лет,,"Инженер-конструктор, инженер-проектировщик",Полный день
Киров (Кировская область),Главный бухгалтер,От 3 до 6 лет,62500.0,Бухгалтер,Полный день
Киров (Кировская область),Продавец-консультант,От 1 года до 3 лет,70000.0,"Продавец-консультант, продавец-кассир",Полный день
Киров (Кировская область),Водитель,От 1 года до 3 лет,50000.0,Водитель,Полный день
Киров (Кировская область),Главный бухгалтер,От 3 до 6 лет,180000.0,Бухгалтер,Полный день
Киров (Кировская область),Оператор на выписку товара,Нет опыта,37500.0,Координатор отдела продаж,Полный день
Киров (Кировская область),Товаровед-оператор,Нет опыта,50000.0,Товаровед,Сменный график
Кирово-Чепецк,Офис-менеджер,От 1 года до 3 лет,40000.0,Офис-менеджер,Полный день
Киров (Кировская область),Бухгалтер,От 3 до 6 лет,45000.0,Бухгалтер,Полный день
Киров (Кировская область),Бухгалтер на первичную документацию,От 1 года до 3 лет,35000.0,Бухгалтер,Полный день
Киров (Кировская область),Начальник производства,От 3 до 6 лет,85000.0,Начальник производства,Полный день
Киров (Кировская область),Бариста COFFEE LIKE,Нет опыта,37500.0,"Официант, бармен, бариста",Сменный график
Киров (Кировская область),Менеджер по работе с клиентами в переписках,Нет опыта,70000.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа
Киров (Кировская область),Регистратор-кассир,Нет опыта,18750.0,Администратор,Сменный график
Киров (Кировская область),Водитель автомобиля,От 1 года до 3 лет,37500.0,Водитель,Полный день
Киров (Кировская область),Офис-менеджер,Нет опыта,40000.0,Офис-менеджер,Полный день
Киров (Кировская область),"Упаковщик готовых изделий на 4 часа, ТК Планета",Нет опыта,20000.0,"Упаковщик, комплектовщик",Полный день
Киров (Кировская область),Главный бухгалтер,Нет опыта,75000.0,Бухгалтер,Полный день
Киров (Кировская область),Офис-менеджер,От 1 года до 3 лет,40000.0,"Делопроизводитель, архивариус",Полный день
Киров (Кировская область),Администратор в кибер клуб,Нет опыта,,Администратор,Сменный график
Киров (Кировская область),Механик-водитель,От 1 года до 3 лет,67000.0,Водитель,Полный день
Киров (Кировская область),Старший юрисконсульт претензионно-искового отдела,От 1 года до 3 лет,60000.0,Юрисконсульт,Полный день
Киров (Кировская область),Бухгалтер по учету тмц,От 3 до 6 лет,45000.0,Бухгалтер,Полный день
Киров (Кировская область),Главный бухгалтер,От 3 до 6 лет,60000.0,Бухгалтер,Полный день
Киров (Кировская область),Помощник на цветочную базу,Нет опыта,42000.0,Другое,Гибкий график
Киров (Кировская область),Менеджер,От 1 года до 3 лет,110000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Киров (Кировская область),Водитель-курьер,От 1 года до 3 лет,40000.0,Водитель,Полный день
Киров (Кировская область),Бухгалтер (оператор 1с),Нет опыта,43000.0,Бухгалтер,Полный день
Киров (Кировская область),Механик,От 1 года до 3 лет,80000.0,"Сервисный инженер, инженер-механик",Полный день
Киров (Кировская область),Администратор сервисного центра,Нет опыта,45000.0,Другое,Сменный график
Киров (Кировская область),Мастер по ремонту и обслуживанию электрооборудования,От 1 года до 3 лет,80000.0,"Инженер-энергетик, инженер-электрик",Полный день
Киров (Кировская область),Веб-дизайнер,От 1 года до 3 лет,,"Дизайнер, художник",Полный день
Киров (Кировская область),Делопроизводитель,Нет опыта,30000.0,"Делопроизводитель, архивариус",Полный день
Киров (Кировская область),Секретарь судебного заседания,Нет опыта,36500.0,"Секретарь, помощник руководителя, ассистент",Полный день
Киров (Кировская область),Инженер,Нет опыта,100000.0,Другое,Полный день
Киров (Кировская область),Бухгалтер на первичную документацию,От 1 года до 3 лет,40000.0,Бухгалтер,Полный день
Киров (Кировская область),Оператор ПК,Нет опыта,33240.0,Другое,Сменный график
Киров (Кировская область),Финансовый директор,От 3 до 6 лет,100000.0,Финансовый директор (CFO),Полный день
Киров (Кировская область),Администратор на полдня,Нет опыта,27500.0,Администратор,Гибкий график
Киров (Кировская область),Конструктор-технолог,От 1 года до 3 лет,60000.0,Технолог,Полный день
Киров (Кировская область),Водитель категории С,От 3 до 6 лет,90000.0,Водитель,Полный день
Киров (Кировская область),Бухгалтер,Нет опыта,45000.0,Бухгалтер,Полный день
Киров (Кировская область),Администратор,От 1 года до 3 лет,33000.0,Другое,Полный день
Киров (Кировская область),"Администратор фитнес-клуба GymStation(Атлант, Алые Паруса,Солнечный берег, РУМ)",Нет опыта,45000.0,Администратор,Сменный график
Киров (Кировская область),Операционный менеджер OZON,От 1 года до 3 лет,50000.0,Другое,Удаленная работа
Киров (Кировская область),Водитель погрузчика,От 1 года до 3 лет,95000.0,Водитель,Полный день
Киров (Кировская область),Главный бухгалтер в единственном числе,От 3 до 6 лет,,Бухгалтер,Полный день
Киров (Кировская область),Оператор по выписке документов на склад,От 1 года до 3 лет,30000.0,"Оператор ПК, оператор базы данных",Полный день
Киров (Кировская область),Электрогазосварщик,От 1 года до 3 лет,80000.0,Сварщик,Полный день
Киров (Кировская область),Заместитель начальника Административно-хозяйственного отдела,От 1 года до 3 лет,50000.0,Менеджер/руководитель АХО,Полный день
Киров (Кировская область),Специалист по заполнению заявок,Нет опыта,56000.0,"Оператор call-центра, специалист контактного центра",Удаленная работа
Киров (Кировская область),Техник,Нет опыта,50000.0,"Слесарь, сантехник",Полный день
Киров (Кировская область),Дизайнер,От 1 года до 3 лет,49000.0,"Дизайнер, художник",Полный день
Нижний Новгород,Менеджер B2B продаж,От 1 года до 3 лет,160000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Нижний Новгород,Водитель автомобиля,От 3 до 6 лет,52000.0,Водитель,Полный день
Нижний Новгород,Менеджер,Нет опыта,215000.0,Менеджер по закупкам,Полный день
Нижний Новгород,Ассистент по работе с маркетплейсами,Нет опыта,15000.0,"Секретарь, помощник руководителя, ассистент",Удаленная работа
Нижний Новгород,Руководитель службы безопасности,От 3 до 6 лет,90000.0,Специалист службы безопасности,Полный день
Нижний Новгород,Специалист call-центра (входящие звонки),Нет опыта,50000.0,"Менеджер по продажам, менеджер по работе с клиентами",Сменный график
Нижний Новгород,Водитель на служебный автомобиль,От 1 года до 3 лет,45000.0,Водитель,Полный день
Дзержинск (Нижегородская область),Рабочий на производство,От 1 года до 3 лет,,Другое,Полный день
Нижний Новгород,Рабочий на оборонный завод,Нет опыта,142000.0,Разнорабочий,Вахтовый метод
Нижний Новгород,Коммерческий директор/ Директор по продажам/ Директор по развитию,От 3 до 6 лет,,Коммерческий директор (CCO),Полный день
Нижний Новгород,Водитель для персонала в ресторан (вечер),От 1 года до 3 лет,20000.0,Водитель,Полный день
Нижний Новгород,Персональный водитель руководителя,Более 6 лет,70000.0,Водитель,Полный день
Нижний Новгород,Оператор ПК (без звонков),От 1 года до 3 лет,37500.0,"Оператор ПК, оператор базы данных",Удаленная работа
Нижний Новгород,Заместитель генерального директора по экономике и финансам,Более 6 лет,200000.0,Финансовый директор (CFO),Полный день
Нижний Новгород,Специалист по кадровому делопроизводству,От 1 года до 3 лет,60000.0,Специалист по кадрам,Полный день
Нижний Новгород,Ведущий специалист группы защиты имущества и координации охранной деятельности,От 3 до 6 лет,130000.0,Специалист службы безопасности,Вахтовый метод
Нижний Новгород,Водитель-экспедитор,От 1 года до 3 лет,67500.0,Водитель,Полный день
Нижний Новгород,Персональный водитель генерального директора,От 3 до 6 лет,,Водитель,Полный день
Нижний Новгород,Главный бухгалтер,От 3 до 6 лет,150000.0,Бухгалтер,Полный день
Нижний Новгород,Бухгалтер,От 1 года до 3 лет,70000.0,Бухгалтер,Полный день
Нижний Новгород,Директор филиала (Нижний Новгород),От 1 года до 3 лет,,Руководитель филиала,Полный день
Нижний Новгород,Судебный юрист,От 1 года до 3 лет,,Юрист,Гибкий график
Нижний Новгород,Водитель-экспедитор,От 1 года до 3 лет,150000.0,Водитель,Полный день
Нижний Новгород,"Консультант (вопросы государственной власти, МСУ и регламента)",От 1 года до 3 лет,,Юрист,Полный день
Нижний Новгород,Комплектовщик,Нет опыта,56500.0,Разнорабочий,Полный день
Нижний Новгород,Старший офис-менеджер,Нет опыта,70000.0,Офис-менеджер,Полный день
Нижний Новгород,Психолог в Клинику Игоря Дара,Нет опыта,105000.0,Психолог,Удаленная работа
Нижний Новгород,Графический дизайнер,Нет опыта,45000.0,"Дизайнер, художник",Удаленная работа
Нижний Новгород,Руководитель обособленного подразделения,Более 6 лет,100000.0,Инженер по эксплуатации,Полный день
Нижний Новгород,Менеджер / Представитель банка (доставка банковских карт),Нет опыта,50000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Нижний Новгород,Куратор в онлайн-институт психологии,От 1 года до 3 лет,40000.0,Другое,Удаленная работа
Нижний Новгород,QA Junior+/Middle,От 1 года до 3 лет,,Тестировщик,Удаленная работа
Нижний Новгород,Продавец-консультант,Нет опыта,60000.0,"Продавец-консультант, продавец-кассир",Полный день
Нижний Новгород,Модератор нарушений правил (мобильная игра),Нет опыта,,Другое,Удаленная работа
Нижний Новгород,Директор по материально-техническому снабжению и логистике,Более 6 лет,300000.0,Другое,Полный день
Нижний Новгород,Frontend-разработчик,От 1 года до 3 лет,,"Программист, разработчик",Удаленная работа
Нижний Новгород,Бухгалтер по расчету заработной платы,От 3 до 6 лет,80000.0,Бухгалтер,Полный день
Нижний Новгород,Маркировщица/Маркировщик,Нет опыта,45000.0,"Упаковщик, комплектовщик",Полный день
Нижний Новгород,Звонить из дома нашим клиентам за 70 000 в месяц,Нет опыта,95000.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа
Нижний Новгород,Директор по персоналу,От 1 года до 3 лет,,Менеджер по персоналу,Полный день
Нижний Новгород,Специалист по транспортной логистике (удаленно),От 1 года до 3 лет,100000.0,"Менеджер по логистике, менеджер по ВЭД",Полный день
Нижний Новгород,Тестировщик / QA Enginer (удаленно),Нет опыта,40000.0,Тестировщик,Удаленная работа
Нижний Новгород,Графический дизайнер,Нет опыта,85000.0,Другое,Полный день
Нижний Новгород,Ведущий специалист по качеству поставок,Нет опыта,,"Инженер-конструктор, инженер-проектировщик",Полный день
Дзержинск (Нижегородская область),Диспетчер,Нет опыта,60000.0,Диспетчер,Полный день
Нижний Новгород,Территориальный менеджер по развитию,От 3 до 6 лет,120000.0,Супервайзер,Полный день
