Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule
Йошкар-Ола,Торговый представитель,От 1 года до 3 лет,,Торговый представитель,Полный день
Йошкар-Ола,Менеджер на маркетплейсах,От 1 года до 3 лет,15000.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа
Йошкар-Ола,Бизнес-ассистент/помощник руководителя,От 1 года до 3 лет,70000.0,"Секретарь, помощник руководителя, ассистент",Полный день
Йошкар-Ола,Оператор производственной линии,Нет опыта,65000.0,Оператор производственной линии,Полный день
Йошкар-Ола,Менеджер отдела Дистрибуции (Йошкар-Ола),От 1 года до 3 лет,60000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Йошкар-Ола,Укладчик-упаковщик,Нет опыта,51500.0,"Упаковщик, комплектовщик",Сменный график
Йошкар-Ола,Заместитель начальника отдела благоустройства,От 1 года до 3 лет,40000.0,Другое,Полный день
Йошкар-Ола,Рабочий на производство,Нет опыта,55000.0,Оператор производственной линии,Полный день
Йошкар-Ола,Документовед,Нет опыта,25000.0,"Делопроизводитель, архивариус",Полный день
Йошкар-Ола,Копирайтер,От 1 года до 3 лет,,"Копирайтер, редактор, корректор",Удаленная работа
Йошкар-Ола,Разнорабочий на автомобильный завод,Нет опыта,100000.0,Разнорабочий,Вахтовый метод
Йошкар-Ола,Ретушер,От 1 года до 3 лет,37500.0,"Фотограф, ретушер",Полный день
Йошкар-Ола,Специалист по разметке данных,Нет опыта,40750.0,Администратор,Полный день
Йошкар-Ола,SMM - менеджер (офис),Нет опыта,37000.0,"SMM-менеджер, контент-менеджер",Полный день
Йошкар-Ола,Заместитель начальника правового управления,От 1 года до 3 лет,41000.0,Юрисконсульт,Полный день
Йошкар-Ола,Менеджер по продажам строительных материалов,От 1 года до 3 лет,70000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Йошкар-Ола,Менеджер по логистике,Нет опыта,50000.0,"Менеджер по логистике, менеджер по ВЭД",Полный день
Йошкар-Ола,Администратор в спа,Нет опыта,42500.0,Другое,Сменный график
Йошкар-Ола,Менеджер отдела продаж,От 1 года до 3 лет,40000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Йошкар-Ола,Специалист на типографические работы (офис-менеджер),От 1 года до 3 лет,40000.0,Другое,Полный день
Йошкар-Ола,Менеджер по логистике,От 1 года до 3 лет,52000.0,"Менеджер по логистике, менеджер по ВЭД",Полный день
Йошкар-Ола,Диспетчер в управляющую компанию,Нет опыта,37500.0,Другое,Полный день
Йошкар-Ола,Таргетолог / Помощник таргетолога / Начинающий таргетолог,От 1 года до 3 лет,60000.0,"Менеджер по маркетингу, интернет-маркетолог",Полный день
Йошкар-Ола,Менеджер по работе с клиентами,Нет опыта,40000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Йошкар-Ола,Менеджер по персоналу,Нет опыта,45000.0,Менеджер по персоналу,Полный день
Йошкар-Ола,Менеджер по лизингу,От 1 года до 3 лет,300000.0,Другое,Полный день
Йошкар-Ола,Администратор интернет-магазина,Нет опыта,50000.0,"Администратор магазина, администратор торгового зала",Полный день
Йошкар-Ола,Оператор склада,Нет опыта,65000.0,"Оператор ПК, оператор базы данных",Полный день
Йошкар-Ола,Заместитель управляющего,От 3 до 6 лет,82759.0,"Администратор магазина, администратор торгового зала",Сменный график
Йошкар-Ола,Администратор,От 1 года до 3 лет,35000.0,Администратор,Сменный график
Йошкар-Ола,"Продавец-консультант, г. Йошкар-Ола",Нет опыта,47500.0,"Продавец-консультант, продавец-кассир",Полный день
Волжск,Механик автоколонны,От 1 года до 3 лет,100000.0,"Автослесарь, автомеханик",Полный день
Йошкар-Ола,Рабочий на производство,Нет опыта,50000.0,Другое,Полный день
Йошкар-Ола,Менеджер по платным услугам,Нет опыта,27500.0,Другое,Полный день
Йошкар-Ола,Маркетолог,Нет опыта,40000.0,"Менеджер по маркетингу, интернет-маркетолог",Полный день
Йошкар-Ола,Заместитель главного бухгалтера,От 3 до 6 лет,48000.0,Бухгалтер,Полный день
Йошкар-Ола,Специалист по материально-техническому снабжению,От 1 года до 3 лет,36500.0,Менеджер по закупкам,Полный день
Йошкар-Ола,Офис-менеджер,Нет опыта,24000.0,Другое,Сменный график
