Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule,Experience,City,Population,Schedule Encoded
Йошкар-Ола,Управляющий частной школой,От 3 до 6 лет,115000.0,Другое,Полный день,4,Йошкар-Ола,248700.0,1
Йошкар-Ола,Ночной администратор в гостиницу,Нет опыта,50000.0,Администратор,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Водитель-экспедитор,От 1 года до 3 лет,45000.0,Водитель,Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Менеджер по подбору персонала,От 1 года до 3 лет,45000.0,Специалист по подбору персонала,Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Ученик-стажер (Москва),Нет опыта,115000.0,Другое,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Рабочий,Нет опыта,50000.0,Разнорабочий,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Младший QA - Инженер,Нет опыта,40000.0,Тестировщик,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Web-дизайнер,Нет опыта,50000.0,"Дизайнер, художник",Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Project Manager/Руководитель проектов,От 1 года до 3 лет,140000.0,Руководитель проектов,Удаленная работа,2,Йошкар-Ола,248700.0,4
Йошкар-Ола,Фасовщик заказов,Нет опыта,59500.0,"Упаковщик, комплектовщик",Гибкий график,0,Йошкар-Ола,248700.0,3
Йошкар-Ола,Менеджер на маркетплейсах,От 1 года до 3 лет,15000.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа,2,Йошкар-Ола,248700.0,4
Йошкар-Ола,Бизнес-ассистент/помощник руководителя,От 1 года до 3 лет,70000.0,"Секретарь, помощник руководителя, ассистент",Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Оператор производственной линии,Нет опыта,65000.0,Оператор производственной линии,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Менеджер отдела Дистрибуции (Йошкар-Ола),От 1 года до 3 лет,60000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Укладчик-упаковщик,Нет опыта,51500.0,"Упаковщик, комплектовщик",Сменный график,0,Йошкар-Ола,248700.0,2
Йошкар-Ола,Заместитель начальника отдела благоустройства,От 1 года до 3 лет,40000.0,Другое,Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Рабочий на производство,Нет опыта,55000.0,Оператор производственной линии,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Документовед,Нет опыта,25000.0,"Делопроизводитель, архивариус",Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Разнорабочий на автомобильный завод,Нет опыта,100000.0,Разнорабочий,Вахтовый метод,0,Йошкар-Ола,248700.0,5
Йошкар-Ола,Ретушер,От 1 года до 3 лет,37500.0,"Фотограф, ретушер",Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Специалист по разметке данных,Нет опыта,40750.0,Администратор,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,SMM - менеджер (офис),Нет опыта,37000.0,"SMM-менеджер, контент-менеджер",Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Заместитель начальника правового управления,От 1 года до 3 лет,41000.0,Юрисконсульт,Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Менеджер по продажам строительных материалов,От 1 года до 3 лет,70000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Менеджер по логистике,Нет опыта,50000.0,"Менеджер по логистике, менеджер по ВЭД",Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Администратор в спа,Нет опыта,42500.0,Другое,Сменный график,0,Йошкар-Ола,248700.0,2
Йошкар-Ола,Менеджер отдела продаж,От 1 года до 3 лет,40000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Специалист на типографические работы (офис-менеджер),От 1 года до 3 лет,40000.0,Другое,Полный день,2,Йошкар-Ола,248700.0,1
